Name,Description,Website
Castle Island Ventures,Venture capital firm focused exclusively on public blockchains. We invest in infrastructure and application companies,http://www.castleisland.vc
CMS Holdings,Principal investment firm focused on making investments across the cryptoasset ecosystem,http://cmsholdings.io
CMT Digital,"CMT Digital, a division of the CMT Group, is focused on crypto asset trading, blockchain technology investments, and legal/policy engagement in the crypto asset / blockchain technology industry",https://cmt.digital
Coinbase Ventures,Coinbase Ventures invests in companies building the open financial system. ,https://ventures.coinbase.com/
Coincident Capital,Long and short trading of leading cryptocurrencies,https://www.coincidentcapital.com
CoinFund,"Investment in venture and liquid opportunities within the blockchain sector with a focus on digital assets, decentralization technologies, and their key enabling infrastructure",https://coinfund.io
CoinShares,Institutional-grade solutions for digital asset investors,https://coinshares.com
Collab+Currency,Early stage investor in projects building the next generation of financial infrastructure,https://www.collaborativefund.com/crypto
Collaborative Fund,Supporting businesses at the intersection of self-interest and broader interest,https://www.collaborativefund.com
Consensys Labs,"ConsenSys Labs is the venture arm of ConsenSys, supporting entrepreneurs and developers around the world through tools, talent, and capital",https://labs.mesh.xyz
Continue Capital,"Investing in global blockchain technology, early-stage technology startup and providing Quant-Trading service",https://continue.capital/
D1 Ventures,Investments in Polkadot ecosystem,https://d1.ventures
DHVC,"DHVC is a venture capital firm based in Palo Alto, California which invests in Enterprise, Consumer, FinTech, and Healthcare sectors",https://www.dh.vc
DeFiance Capital,DeFiance Capital is a Decentralized Finance (DeFi) focused cryptoasset fund that combines fundamental research with an activist investment approach,https://www.defiance.capital
Delphi Digital,Fundamental research & investing,https://www.delphidigital.io/ventures
Digital Asset Capital Management,Specialist manager of digital asset funds offering institutional and family office investors exposure to this rapidly growing asset class,https://dacm.io
Digital Currency Group,DCG builds and supports bitcoin and blockchain companies,http://dcg.co
Distributed Global,Distributed Global is a venture firm focused on the blockchain ecosystem,http://www.distributedglobal.com
Divergence Ventures,Crypto Operator Fund,https://www.div.vc
DragonFly,A cross-border cryptoasset investment firm,https://www.dcp.capital
DTC Capital,Crypto-Native Investment Fund,https://www.dtc.capital
DU Capital,Singapore-based multi-stage investment firm backing companies and entrepreneurs that venture in innovative technologies such as the distributed ledger technologies,https://www.du.capital
Eden Block,Venture house dedicated to enabling a new digital future with blockchain,https://www.edenblock.com
Electric Capital,"Electric Capital is an early stage venture firm focused on cryptocurrencies, blockchain, fintech, and marketplaces. We invest in companies and protocols built on top of Programmable Money",https://www.electriccapital.com
Eterna Capital,Blockchain Investment firm,https://www.eternacapital.com
Fabric Ventures,Venture Capital fund investing in blockchain and decentralised data networks powering Web 3.0,https://www.fabric.vc
FBG Capital,FBG Capital is a digital asset management firm in blockchain-based capital market,https://www.fbg.capital
Fenbushi Venture Capital,First and most active blockchain-focused venture capital firm in Asia,https://www.fenbushicapital.vc
Fengshui Capital,Blockchain investment firm,https://fengshui.capital
Foundation Capital,Venture capital firm in Silicon Valley,https://foundationcapital.com
Framework Ventures,A thesis-driven venture firm that builds alongside our founders,https://framework.ventures
Fundamental Labs,"Venture capital firm focused exclusively on blockchain tech, digital infrastructure, and open finance network",https://fundamentallabs.com/#/
Galaxy Digital,"Galaxy Digital is a diversified financial services and investment management innovator in the digital asset, cryptocurrency, and blockchain technology sector",https://www.galaxydigital.io
Genesis Block Ventures,Cryptocurrency investment management firm investing exclusively in a diversified portfolio of digital assets,https://www.genesisblockcapital.com
Greenfield One,"Long-term bets on early developer teams building towards an open, decentralized and more robust architecture of tomorrow’s web",https://www.greenfield.one
Gumi Cryptos,"Blockchain/crypto venture fund launched by gumi Inc., a leading global mobile game publisher and developer",https://www.gumi-cryptos.com
Hashed,"Global, early stage venture fund focused on backing founders who are pioneering the future of blockchain and cryptocurrency",https://www.hashed.com
Hashkey Capital,HashKey Group participates in high potential digital asset investment opportunities for institutional investors and creates and funds our own investment initiatives in the blockchain space,https://www.hashkey.com/business-lines/capital
Huobi Capital,"Huobi Capital is the investment arm of Huobi, focusing exclusively on ventures and projects related to blockchain technology, digital currency, and crypto currency",https://www.huobi.com/capital
Hypersphere Ventures,Hypersphere is a venture-technology firm investing in and building technology in the blockchain industry. Hypersphere partners with projects and participates deeply in the communities we invest in,https://www.hypersphere.ventures
IDEO Colab Ventures,Investments in early-stage distributed web startups and co-creation & launch of new products and protocols,https://www.ideocolab.com/ventures
INBlockchain,INB is the most influential investment group in the Chinese blockchain space,https://www.inblockchain.com
Infinite Capital,Crypto & Defi Investments,https://infinitecapital.io
IOSG Ventures,"A research and community driven venture capital focused on Open Finance, Web 3.0, and cross-chain industry",https://iosg.vc/#/
Kenetic Capital,Systematic cryptocurrency trading strategies and equity investment in series A/B blockchain companies,https://kenetic.capital
KR1,KR1 (founded 2016 as KRYPTONITE1) is a leading European digital asset investment company supporting early-stage blockchain and DeFi projects.,https://www.kryptonite1.co
Lemniscap,Investment firm specialized in cryptoassets and blockchain startups,https://lemniscap.com
Libertus Capital,"Investments in companies and protocols that enhance and protect freedom, privacy and trust.",https://www.libertuscapital.com
LongHash Ventures,Accelerator and investor in early-stage blockchain start-ups,https://www.longhashventures.com
Lunex Ventures,LuneX Ventures invests in Cryptocurrencies and Blockchain companies,https://lunex.vc
Lvna Capital,Digital asset investment manager that focuses on institutional and professional individual investors,https://lvnacapital.com
Mechanism Capital,"Investment firm that funds, builds ecosystem tools, produces public research, and participates actively in decentralized governance",https://www.mechanism.capital
MetaStable,Management of Crypto Asset Hedge Funds,http://www.metastablecapital.com
Morgan Creek Capital,SEC-registered investment adviser providing investment management services to institutions and wealthy families,https://www.morgancreekcap.com
Multicoin Capital,"Thesis-driven investment firm that invests in cryptocurrencies, tokens, and blockchain companies",https://multicoin.capital
Nascent,"Nascent is a multi-strategy investment firm focused that pursues compelling opportunities in crypto, DeFi, and the open economies they enable",https://www.nascent.xyz
NGC Ventures,Blockchain investment fund,https://www.ngc.fund
Nima Capital,"Nima Capital LLC, a single-family office with private and public equity investing platforms",http://nimacap.com
Outlier Ventures,Outlier Ventures is a venture platform that supports the development and growth of emerging technologies,https://outlierventures.io
Pantera Capital,"Pantera Capital is an investment firm focused exclusively on ventures, tokens, and projects related to blockchain tech, digital currency, and crypto assets",https://www.panteracapital.com
Paradigm,Crypto-focused investment firm based in San Francisco investing in crypto assets and businesses from the earliest stages of idea formation through to maturity,https://www.paradigm.xyz
Parafi Capital,ParaFi Capital is an alternative investment firm focused on blockchain and decentralized finance markets,https://www.parafi.capital
Placeholder,Placeholder is a venture capital firm that invests in open blockchain networks and related Web3 infrastructure,https://www.placeholder.vc
PolybiusCapital,Principal investment firm investing and supporting the blockchain ecosystem,https://www.polybiuscapital.com
Polychain Capital,Leading VC in crypto,https://polychain.capital
PREangel Fund,Beijing-based investment fund focused on early-stage internet startups,http://www.preangelfund.cn
QCP Capital,Asia's (leading) digital economy traders,https://qcp.capital
Queschain Capital,Blockchain-focused venture capital with focus on disruptive and transformative movements in the blockchain industry and the crypto community,https://queschain.com
Robot Ventures,Robot Ventures is a (pre-)seed investor in fintech / crypto companies with big ambitions and contrarian worldviews,https://robvc.com
Semantic VC,Investing in new rails for data & the digital economy,https://www.semantic.vc
Signum Capital,Singapore-based firm that consults in Blockchain-enabled companies & participates in pre-sale stages of Token Generation Events and Equity investments,https://www.signum.capital
Sino Global Capital,Investments in decentralized technologies that have a strategic connection to the mainland Chinese market,https://www.sinoglobalcapital.com
Slow Ventures,VC in tech industry,http://www.slow.co
SNZ Holding,"Empowering blockchain projects through the SNZ hub, a network with global top tier venture capitals, state-of-the art blockchain technologies, and various communities",https://snzholding.com
Sora Ventures,Crypto-backed venture capital firm dedicated to blockchain and digital currency investments,http://www.sora.vc
The Spartan Group,Digital asset management firm that takes a fundamental approach to identify unique investment opportunities in the emergent crypto asset class,https://www.spartangroup.io
Standard Crypto VC,Crypto-focused VC firm,https://standardcrypto.vc
Tetras Capital,Tetras Capital is an actively managed crypto hedge fund,https://tetras.capital
Three Arrows Capital,Crypto Trading & VC,https://www.threearrowscap.com
Variant Fund,Variant is an early-stage venture firm investing in crypto networks & platforms building The Ownership Economy,https://variant.fund
Volt Capital,Crypto Venture Firm,https://www.volt.capital
Web 3 Capital,Web3 Capital is a decentralized venture capital fund focusing on investing in Polkadot ecosystem projects,https://web3.capital
Youbi Capital,Blockchain & FinTech PE/VC Fund,https://www.youbicapital.com
Zee Prime Capital,Investments in liquid cryptoassets on the open market and early-stage funding rounds incl. staking & running nodes,https://zeeprime.capital
zk Capital,"zk Capital provides venture capital services - financing, mentoring, and research collaboration to emerging and start-up companies, namely in the blockchain technology space",https://www.zk.capital
9Yards Capital,9YC is a global investment firm that invests in tech enabled consumer and enterprise fintech and logistics companies at the growth stage,https://9yardscapital.com
Version One Ventures,Version One Ventures backs mission-driven founders at the earliest stages,http://versionone.vc
SV Angel,"SV Angel is an angel firm that helps startups with business development, financing, M&A, and other strategic advice",http://www.svangel.com
8 Decimal Capital,A multi-strategy investment firm focused on both token and equity investment,www.8dcapital.com
Block Ventures,Block Ventures is a venture capital firm investing in disruptive blockchain technology companies,block.ventures
Black Hole Capital,"Black Hole Capital makes equity investments in the internet and mobile Internet, hi-tech, healthcare and other sectors",www.blackholecap.com/
MKT,MKT invests in easrly-stage blockchain and fin-tech companies,
Funcity Capital,"Funcity Capital is an asset management company specializing in Internet finance, artificial intelligence, blockchain, and smart travel.",http://www.funcityholding.com/
Limitless Crypto Investments,"LCI offers exposure to ventures, tokens, and projects related to blockchain tech, digital currency, and crypto assets.",https://www.limitlesscryptos.com/
Sequoia Capital,"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",https://www.sequoiacap.com/
Plutus21,"Plutus21 is an investment firm focused on alternative assets such as crypto, venture capital, and real estate.",https://www.plutus21.com/
Vertex Ventures,Vertex Ventures is a global network of operator-investors that manages portfolios.,http://www.vertexventures.com/
Vertex Ventures China,Vertex Ventures China invests in high-growth internet and technology start-ups across mainland China.,https://www.vertexventures.cn/
Vertex Ventures Southeast Asia & India,Vertex Ventures Southeast Asia & India invests in high-growth start-ups in Southeast Asia and India.,http://www.vertexventures.com/southeast-asia-india/
Avant Global,Avant Global is a relationship-driven private investment firm founded in 1999 to manage assets of a single family.,https://avantglobal.com/
All Blue Capital,"AB Capital is an international investment firm that has global scale, local expertise and an entrepreneurial approach.",https://www.allbluecapital.com/
Lightspeed Venture Partners,"Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.",https://lsvp.com/
Pathfinder,"Pathfinder, previously known as FF Angel, is the early stage investment vehicle of venture capital firm Founders Fund.",
Vast Ventures,"Vast Ventures is a venture capital fund that invests in Seed, Series A and growth stages.",https://www.vastvc.com/
Camp One Ventures,"Camp One Ventures is a venture capital fund that does investments in early-staged social, mobile, FinTech, and SaaS startups.",http://www.camponeventures.com/
Core Innovation Capital,Core Innovation Capital is a venture capital firm investing in companies committed to empowering small businesses.,http://www.corevc.com/
Hinge Capital,Hinge Capital is a investment firm.,https://hingecapital.com/
IDG Capital,IDG Capital is an investment firm that funds early- to growth-stage companies in the technology sector.,http://en.idgcapital.com/
AME Cloud Ventures,AME Cloud Ventures invests in seed to later-stage tech companies that build infrastructure and value chains around data.,http://www.amecloudventures.com/
CME Ventures,CME Ventures is the strategic investment arm of CME Group focused on managing a portfolio of external minority equity investments,https://www.cmegroup.com/cme-ventures.html
CRCM Ventures,"CRCM Ventures invests in early stage companies in the US and China, targeting consumer, frontier tech, health, and fintech industries.",http://www.crcmventures.com/
Route 66 Ventures,Route 66 Ventures provides venture capital and credit solutions to emerging financial technology and services companies.,https://route66ventures.com/
RRE Ventures,"RRE Ventures is a venture capital firm that offers early-stage funding to software, internet, and communications companies.",https://rre.com/
Seagate Technology,"Seagate offers consumers and businesses with data storage solutions to create, share, and preserve digital content.",https://www.seagate.com
Knight Enterprise Fund,Knight Enterprise Fund is a venture capital firm based in Florida that finances early stage investments of media and technology companies.,knightfoundation.org/enterprise-fund
Mouro Capital,Mouro Capital is a venture capital firm backing entrepreneurs who are shaping the future of financial services.,www.mourocapital.com/
Abstract Ventures,"Abstract Ventures is a sector agnostic venture investor in Pre-seed, Seed, and Series A startup companies.",www.abstract.vc
Accenture,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",www.accenture.com/in-en
SBI Investment,SBI Investment supports the business development and growth of private venture companies through fund investment.,www.sbinvestment.co.jp/
SCB 10X,SCB 10X is an investment firm that invests in technology startups.,scb10x.com/
Standard Chartered Bank,Standard Chartered Bank is an international banking group.,www.sc.com
PMT Ventures,PMT Ventures is an investment and research firm empowering the next generation of Web 3.0,pmt.vc/
Tetragon Financial Group Limited,"Tetragon Financial Group aims to provide stable returns to investors across various credit, equity, interest rate, and real estate cycles.",www.tetragoninv.com/
Nirvana Capital,Nirvana Capital is a blockchain focused fund.,nirvana.capital/
AU21 Capital,A fund dedicated to backing the most brilliant minds in the blockchain space,au21.capital/
500 Startups,"500 Startups is a global venture capital firm with a network of startup programs for founders, mentors, and investors.",500.co
Passport Capital,"Passport Capital LLC is a San Francisco based, global investment firm founded by John H. Burbank III in 2000.",www.passportcapital.com
Reciprocal Ventures,Reciprocal Ventures is a venture capital firm focused exclusively on FinTech.,recvc.com
Rockaway Ventures,Rockaway Ventures (Fund of Rockaway Capital) focuses on late-stage venture and growth equity ESG investments in digital economy in Europe,
Jump Trading,"Jump Trading is a globally-positioned, proprietary trading firm.",www.jumptrading.com/
L1 Digital,"Sourcing the best crypto and blockchain investments globally through funds, co-investments and directs.",l1.digital
Memetic Capital,Memetic Capital is an investment firm.,
ICONIZ,ICONIZ is the world’s leading blockchain accelerator for startups.,www.iconiz.io
Node Capital,Node Capital is a venture capital company focusing on blockchain industry.,www.nodecap.com
DCM Ventures,"DCM Ventures is an early-stage venture capital firm that invests in the mobile, consumer internet, communications, and service sectors.",www.dcm.com
Heuristic Capital,Heuristic Capital Partners is an early stage hardware focused venture fund.,www.heuristiccapital.com/
Sierra Ventures,Sierra Ventures is an early-stage venture firm investing globally with a focus on next generation enterprise and emerging technologies.,www.sierraventures.com
Sparkland Capital,Sparkland Capital is an early-stage venture capital firm that invests in frontier technologies.,www.sparklandcap.com/
The Venture Reality Fund,"The Venture Reality Fund invests in early stage AI, AR & VR startups defining the future of computing",www.thevrfund.com
Zhiping Capital,-,
Samsung NEXT,Samsung NEXT invests in transformative early-stage software and services startups.,samsungnext.com/ventures
UpHonest Capital,UpHonest Capital is an international venture capital firm that specializes in providing investment capital to early-stage startups.,www.uphonestcapital.com/
Wei Fund,Angel fund in Silicon Valley,
Stripe,Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,stripe.com
Chain Capital,"Chain Capital specializes in investing projects in Blockchain and offers incubation, advisory, and financial services.",capital-chain.com/en/index.html
Cardinal Capital,"Blockchain, Cryptocurrency, Fintech",www.cardinal.vc
yield ventures,bringing awareness to yield generation for the masses and deploying capital as venture builders,www.yieldventures.io/
Pillar VC,"Pillar VC invests in seed-stage companies in Boston, supporting unstoppable founders with capital, connections, coaching, and peer support.",pillar.vc/
Union Square Ventures,"Union Square Ventures is a venture capital firm focused on early-stage, growth-capital, late stage, and startup financing.",www.usv.com
Kosmos Ventures,Kosmos Ventures is the leading and largest Australian based multi-strategy VC firm specializing in blockchain-based assets.,kosmos.vc
VLane Capital,Early stage blockchain venture fund,
ICONIUM,ICONIUM is backing the best Blockchain-based token sales and invest in digital assets Worldwide.,www.iconium.it
High Naut Capital,Mission-driven crypto asset fund. Fundamentals first.,www.highnaut.com
Dolfin,"An independent investment firm providing custody, trading and asset management to institutional and private clients.",dolfin.com/
ZBS CAPITAL,ZBS Capital is a venture capital fund focused on companies building a decentralized world,zbs.capital
Tally Capital,Blockchain technology represents one of the greatest generational opportunities for entrepreneurs and investors.,tallycapital.com/
Distributed Global,A crypto investment firm,www.distributedglobal.com/
BCA Fund,BCA Fund is an investment Firm.,
Consensus Capital Holdings,Consensus Capital Holdings is a private investment and management firm.,www.consensuscapitalholdings.com/
UniValues Associates,UniValues Associates is a investment firm.,
ZhenFund,"ZhenFund invests in TMT, healthcare, and education among other sectors.",www.zhenfund.com
Matrix Partners China,Matrix Partners China builds long-term relationships with entrepreneurs and helps them build significant companies.,www.matrixpartners.com.cn/
Sequoia Capital China,"Sequoia Capital China is a VC firm focused on seed stage, mid stage, late stage, and growth investments in the fintech sector.",www.sequoiacap.com/china/en/
Connect Capital,Connect Capital is a blockchain and digital assets investments fund.,connect.capital/
Cypher Capital,Cypher Capital is a early stage VC and consultant firm,www.cyphercapital.net/
A.Capital Ventures,A.Capital Ventures is an early stage venture capital firm investing in consumer and enterprise technology companies.,www.acapital.com
Variant Alternative Income Fund,"Variant Alternative Income Fund is a continuously-offered, non-diversified, registered closed-end fund with limited liquidity.",funds.variantinvestments.com/
Rockaway Blockchain Fund,Traditional VC investor into digital assets. We invest globally into outstanding founders building next generation of financial services.,rbf.capital
SOSV,"SOSV is a global VC firm with $1B AUM and 1,000+ investments, that operates HAX, IndieBio, Chinaccelerator, MOX, and dlab.",sosv.com/
Genesis One Capital,Genesis One Capital operates as a blockchain investment firm.,genesisone.capital
Simulation Ventures,Venture Capital firm focused on AI and frontier tech,
Visary Capital,A thesis-driven fund for the new digital ecnomy.,visary.capital
Hex Capital,Hex Capital is an investment firm,hex.capital/
DeFi Alliance,An accelerator helping DeFi startups source liquidity and support from a broad industry network,defialliance.co/
Jump Capital,Jump Capital is a venture capital firm specializing in Series A and B expansion stage investments in technology and software.,www.jumpcap.com
Nascent Ventures,Nascent Ventures is a venture capital investment and management firm that provides support for gig entrepreneurs and technology startups.,nascentventures.co.uk/
Dragonfly Capital Management,The premium service starts with an in depth Technical Analysis of the Macro Markets and their influencers.,dragonflycap.com
FTX,FTX Exchange is a cryptocurrency exchange company that develops a mobile trading platform.,ftx.com/
Republic Capital,Republic Capital works with high net-worth individuals and family offices to syndicate investment opportunities.,www.republiclabs.co/
Struck Capital Crypto,Struck Capital Crypto is a multi-strategy crypto fund based in Los Angeles.,www.struckcapitalcrypto.com
Binance Smart Chain,Binance Smart Chain is a sovereign smart contract blockchain delivering Ethereum Virtual Machine (EVM) compatible programmability.,www.binance.org/en/accelerator
Incuba Alpha,"Incuba Alpha is a crypto fund derived from Japan with focus on early entrepreneurs in Decentralized Finance (Defi), DAO, and Web3.",www.incuba.capital/
Hyperchain Capital,HyperChain Capital is a digital asset management company that focuses on Blockchain-based projects and decentralized protocols.,hyperchain.capital/
NEO,"NEO is a community-based non-profit block chain project, is the use of block chain technology and digital identity for digital assets...",neo.org/
Obsidian Capital,"Obsidian Capital is focused exclusively on Intelligent Blockchain, DLT projects, Digital and Crypto Assets.",obsidiancapital.fund/
G2H2,Investing in expertly sourced initial coin offerings that undergo deep-dive technical validation and generate rapid returns.,g2h2.capital
FinTech Collective,"FinTech Collective is a New York-based venture capital fund, focused exclusively on financial services technology companies.",www.fintech.io
Axia8 Ventures,Axia8 Ventures is a Shanghai-based venture capital and private equity firm.,
Bitlink Capital,-,
BitScale,BitScale invest in teams and solutions that bring transparency and efficiency.,bitscale.capital/
BoxOne Ventures,BoxOne Ventures is an investment firm.,www.boxoneventures.com/
Cumberland,Cumberland provides financial institutions and high-net-worth individuals with the access they need to capitalize on the crypto asset space.,cumberland.io/
Innovating Capital,"Innovating Capital is a premier technology fund with a focus on financial, cybersecurity, insurance, and life sciences.",innovating.capital
K42,-,
Krypital Group,Krypital Group is a global venture capital firm and blockchain incubator providing end to end services such as project incubation.,krypital.com/
OK Blockchain Capital,OK Blockchain Capital provides fully-integrated blockchain services for extraordinary projects.,www.okcoin.com/capital
Cabin VC,We are participating in the wave of digital change of blockchain technology to real society via public welfare and investing.,www.cabin.vc/
Binance,Binance is a cryptocurrency exchange platform that combines digital technology and finance.,www.binance.com
Cadenza Capital Management,Cadenza Capital Management is an investment firm with a focus on digital finance.,cadenza.vc
Primitive Ventures,Primitive Ventures is an international venture investment firm that invests on blockchain and cryptocurrency technologies.,primitive.ventures/
Dragonfly Capital Partners,Dragonfly Capital Partners are investing in and supporting the most promising opportunities in the cryptoasset class.,www.dcp.capital
Amino Capital,"Amino Capital focusing on data driven startups, and blockchain powered next generation protocols.",www.aminocapital.com
Plasma Capital,Plasma capital is an investment firm specialising in blockchain technology and digital assets.,www.plasmacapital.net
Caffeinated Capital,Caffeinated Capital is a San Francisco based technology investment firm founded by Raymond Tonsing.,caffeinatedcapital.com/
Kindred Ventures,"Kindred Ventures is a seed-stage venture capital fund based in San Francisco, California.",www.kindredventures.com
a16z crypto,a16z crypto is a venture fund that will invest in crypto companies and protocols.,a16z.com/crypto/
Bain Capital Ventures,Bain Capital Ventures invests in seed to growth-stage startups that uses tech to disrupt existing markets or create entirely new ones.,baincapitalventures.com
Craft Ventures,Craft Ventures is an early-stage venture fund specializing in the craft of building great companies.,craftventures.com/
Vy Capital,Vy Capital is an investment firm that focuses on the internet and software industry.,www.vycapital.com
GSR,"GSR, founded in 2013, is a global leader in digital asset trading and market making.",www.gsr.io
RockTree Capital,RockTree Capital is a pioneer in international merchant banking.,www.rocktreecapital.com/
Scalar Capital,Scalar Capital is a hedge fund company specializing in cryptoassets.,scalar.capital
Wintermute Trading,Crypto market maker focused on high-frequency algorithmic trading and market making services.,www.wintermute-trading.com/
Finlink Capital,Finlink Capital is an investment firm.,
Kronos Research,Kronos delivers superior trading performance and liquidity,kronosresearch.com
Menai Financial Group,Menai is developing the fundamental components of markets and investment infrastructure.,menai.io/
mgnr.io,mgnr.io is a systematic proprietary trading firm that uses innovative quantitative research and rigorous engineering.,mgnr.io/
Sixtant,Proprietary trading and market making firm,sixtant.io
StarkWare Industries,StarkWare Industries develops a full-proof stack in generating and verifying proofs of computational integrity in the blockchain.,www.starkware.co
Ethereal Ventures,Ethereal Ventures a new venture fund established by Joseph Lubin.,
Figment,"Figment supports the adoption, growth and long term success of the Web 3 ecosystem.",figment.io
CoinGecko,"CoinGecko provides a data platform, digital currency prices, and fundamental analysis of the cryptocurrency market.",www.coingecko.com
TokenSuite Ventures,"TokenSuite Ventures is a blockchain incubator that focuses on investing in, developing, and marketing innovative blockchain solutions.",tokensuite.ventures/
Collider Ventures,Collider Ventures is an early-stage venture capital blockchain & cryptocurrency fund.,www.collider.vc/
G1 Ventures,Blockchain VC with practical approach,g1.vc/
Gnosis,Gnosis provides a decentralized platform for prediction markets.,gnosis.io/
Crypto.com Capital,Crypto.com Capital is a venture arm dedicated on investing in crypto startups at Seed and Series A stages.,crypto.com/capital
Fisher8 Capital,Fisher8 Capital operates as an investment firm.,www.fisher8.capital/
Harvest Finance,Harvest Finance automatically farms the highest yields in DeFi.,harvest.finance/
imToken,imToken is the world’s largest Ethereum digital asset wallet.,token.im/
LedgerPrime,LedgerPrime is a Digital Asset Investment Firm,www.ledgerprime.com/
Origin Capital,Origin Capital provides a real alternative to traditional funding options in the Irish commercial real estate market.,www.origincapital.ie/
Parataxis Capital,Parataxis Capital is a multi-strategy investment firm focused on the digital asset sector,www.parataxis.io/
Signum Capital,Signum Capital is a Singapore-based firm that exclusively consults in Blockchain-enabled companies.,www.signum.capital/
Sora Ventures,Sora Ventures is Asia's leading investment capital firm dedicated to blockchain technology and digital asset.,www.sora.vc/
Strategic Round Capital,Strategic Round Capital invests in early-stage blockchain projects.,www.src.capital/
Youbi Capital,Youbi Capital is a venture capital firm investing in Blockchain technologies and disruptive decentralized business applications.,www.youbicapital.com
TRGC,TRGC is a digital asset fund focused on investment opportunities that will spark the internet’s next paradigm shift.,trgc.io/
Standard Crypto,Standard Crypto is an investment firm.,standardcrypto.vc/
Alpha Sigma Capital,Alpha Sigma Capital is a hedge fund management firm investing in technology companies that are leveraging blockchain technology.,alphasigma.fund/
Tether,"Tether Holdings operates a platform to store, send, and receive local currency person to person globally.",tether.to
tokentus investment AG,Venture capital investor for blockchain based business models.,tokentus.com/
Caisse de Depot et Placement du Quebec,Caisse de Depot et Placement du Quebec is a Canadian fund management company focused on retirement plans and insurance policies.,www.cdpq.com/
WestCap,"WestCap is an early growth-oriented investment firm that specializes in the fields of e-commerce, mobile payments, and private markets.",www.westcap.com/
Scanate,Scanate is a vertical agnostic fund that invests off its balance sheet.,scanate.co/
Walden Bridge Capital,Walden Bridge Capital,
Wyre Capital,"Wyre Capital invests in digital assets and projects driving the decentralization of finance, applications, and the web.",sendwyre.com
Bloccelerate,Bloccelerate is a global accelerator and a fund focused on investing in blockchain companies all over the world.,www.bloccelerate.vc/
Compound,Compound is a venture capital firm that invests in bleeding-edge technology built by outliers.,compound.vc/
South Park Commons,"South Park Commons brings together talented people to share ideas, explore directions, and realize the opportunities that’ll get you there.",www.southparkcommons.com
Transmedia Capital,Transmedia Capital is one of the leading micro funds in Silicon Valley.,www.transmediacapital.com
Genesis Capital,"Genesis Capital is the largest institutional digital asset lender, including over $10B in 2020 YTD.",
Nascent Ventures,Nascent Ventures is a venture capital investment and management firm that provides support for gig entrepreneurs and technology startups.,nascentventures.co.uk/
